ID,Name,Train ,Test ,Class,Length,Total ,Operations
1,Adiac,390,391,37,176,781,137456
2,ArrowHead,36,175,3,251,211,52961
3,Beef,30,30,5,470,60,28200
4,BeetleFly,20,20,2,512,40,20480
5,BirdChicken,20,20,2,512,40,20480
6,Car,60,60,4,577,120,69240
7,CBF,30,900,3,128,930,119040
8,ChlorineConcentration,467,3840,3,166,4307,714962
9,CinCECGTorso,40,1380,4,1639,1420,2327380
10,Coffee,28,28,2,286,56,16016
11,Computers,250,250,2,720,500,360000
12,CricketX,390,390,12,300,780,234000
13,CricketY,390,390,12,300,780,234000
14,CricketZ,390,390,12,300,780,234000
15,DiatomSizeReduction,16,306,4,345,322,111090
16,DistalPhalanxOutlineAgeGroup,400,139,3,80,539,43120
17,DistalPhalanxOutlineCorrect,600,276,2,80,876,70080
18,DistalPhalanxTW,400,139,6,80,539,43120
19,Earthquakes,322,139,2,512,461,236032
20,ECG200,100,100,2,96,200,19200
21,ECG5000,500,4500,5,140,5000,700000
22,ECGFiveDays,23,861,2,136,884,120224
23,ElectricDevices,8926,7711,7,96,16637,1597152
24,FaceAll,560,1690,14,131,2250,294750
25,FaceFour,24,88,4,350,112,39200
26,FacesUCR,200,2050,14,131,2250,294750
27,FiftyWords,450,455,50,270,905,244350
28,Fish,175,175,7,463,350,162050
29,FordA,3601,1320,2,500,4921,2460500
30,FordB,3636,810,2,500,4446,2223000
31,GunPoint,50,150,2,150,200,30000
32,Ham,109,105,2,431,214,92234
34,Haptics,155,308,5,1092,463,505596
35,Herring,64,64,2,512,128,65536
36,InlineSkate,100,550,7,1882,650,1223300
37,InsectWingbeatSound,220,1980,11,256,2200,563200
38,ItalyPowerDemand,67,1029,2,24,1096,26304
39,LargeKitchenAppliances,375,375,3,720,750,540000
40,Lightning2,60,61,2,637,121,77077
41,Lightning7,70,73,7,319,143,45617
42,Mallat,55,2345,8,1024,2400,2457600
43,Meat,60,60,3,448,120,53760
44,MedicalImages,381,760,10,99,1141,112959
45,MiddlePhalanxOutlineAgeGroup,400,154,3,80,554,44320
46,MiddlePhalanxOutlineCorrect,600,291,2,80,891,71280
47,MiddlePhalanxTW,399,154,6,80,553,44240
48,MoteStrain,20,1252,2,84,1272,106848
51,OliveOil,30,30,4,570,60,34200
52,OSULeaf,200,242,6,427,442,188734
53,PhalangesOutlinesCorrect,1800,858,2,80,2658,212640
54,Phoneme,214,1896,39,1024,2110,2160640
55,Plane,105,105,7,144,210,30240
56,ProximalPhalanxOutlineAgeGroup,400,205,3,80,605,48400
57,ProximalPhalanxOutlineCorrect,600,291,2,80,891,71280
58,ProximalPhalanxTW,400,205,6,80,605,48400
59,RefrigerationDevices,375,375,3,720,750,540000
60,ScreenType,375,375,3,720,750,540000
61,ShapeletSim,20,180,2,500,200,100000
62,ShapesAll,600,600,60,512,1200,614400
63,SmallKitchenAppliances,375,375,3,720,750,540000
64,SonyAIBORobotSurface1,20,601,2,70,621,43470
65,SonyAIBORobotSurface2,27,953,2,65,980,63700
66,StarLightCurves,1000,8236,3,1024,9236,9457664
67,Strawberry,613,370,2,235,983,231005
68,SwedishLeaf,500,625,15,128,1125,144000
69,Symbols,25,995,6,398,1020,405960
70,SyntheticControl,300,300,6,60,600,36000
71,ToeSegmentation1,40,228,2,277,268,74236
72,ToeSegmentation2,36,130,2,343,166,56938
73,Trace,100,100,4,275,200,55000
74,TwoLeadECG,23,1139,2,82,1162,95284
75,TwoPatterns,1000,4000,4,128,5000,640000
76,UWaveGestureLibraryAll,896,3582,8,945,4478,4231710
77,UWaveGestureLibraryX,896,3582,8,315,4478,1410570
78,UWaveGestureLibraryY,896,3582,8,315,4478,1410570
79,UWaveGestureLibraryZ,896,3582,8,315,4478,1410570
80,Wafer,1000,6164,2,152,7164,1088928
81,Wine,57,54,2,234,111,25974
82,WordSynonyms,267,638,25,270,905,244350
83,Worms,181,77,5,900,258,232200
84,WormsTwoClass,181,77,2,900,258,232200
85,Yoga,300,3000,2,426,3300,1405800
86,ACSF1,100,100,10,1460,200,292000
90,BME,30,150,3,128,180,23040
91,Chinatown,20,343,2,24,363,8712
92,Crop,7200,16800,24,46,24000,1104000
96,EOGHorizontalSignal,362,362,12,1250,724,905000
97,EOGVerticalSignal,362,362,12,1250,724,905000
98,EthanolLevel,504,500,4,1751,1004,1758004
99,FreezerRegularTrain,150,2850,2,301,3000,903000
100,FreezerSmallTrain,28,2850,2,301,2878,866278
107,GunPointAgeSpan,135,316,2,150,451,67650
108,GunPointMaleVersusFemale,135,316,2,150,451,67650
109,GunPointOldVersusYoung,136,315,2,150,451,67650
110,HouseTwenty,40,119,2,2000,159,318000
111,InsectEPGRegularTrain,62,249,3,601,311,186911
112,InsectEPGSmallTrain,17,249,3,601,266,159866
114,MixedShapesRegularTrain,500,2425,5,1024,2925,2995200
115,MixedShapesSmallTrain,100,2425,5,1024,2525,2585600
117,PigAirwayPressure,104,208,52,2000,312,624000
118,PigArtPressure,104,208,52,2000,312,624000
119,PigCVP,104,208,52,2000,312,624000
121,PowerCons,180,180,2,144,360,51840
122,Rock,20,50,4,2844,70,199080
123,SemgHandGenderCh2,300,600,2,1500,900,1350000
124,SemgHandMovementCh2,450,450,6,1500,900,1350000
125,SemgHandSubjectCh2,450,450,5,1500,900,1350000
127,SmoothSubspace,150,150,3,15,300,4500
128,UMD,36,144,3,150,180,27000
