ID,Name,Train ,Test ,Class,Length,Total ,Operations
3,Beef,30,30,5,470,60,28200
5,BirdChicken,20,20,2,512,40,20480
6,Car,60,60,4,577,120,69240
12,CricketX,390,390,12,300,780,234000
13,CricketY,390,390,12,300,780,234000
14,CricketZ,390,390,12,300,780,234000
18,DistalPhalanxTW,400,139,6,80,539,43120
21,ECG5000,500,4500,5,140,5000,700000
27,FiftyWords,450,455,50,270,905,244350
28,Fish,175,175,7,463,350,162050
29,FordA,3601,1320,2,500,4921,2460500
30,FordB,3636,810,2,500,4446,2223000
34,Haptics,155,308,5,1092,463,505596
35,Herring,64,64,2,512,128,65536
37,InsectWingbeatSound,220,1980,11,256,2200,563200
38,ItalyPowerDemand,67,1029,2,24,1096,26304
39,LargeKitchenAppliances,375,375,3,720,750,540000
41,Lightning7,70,73,7,319,143,45617
43,Meat,60,60,3,448,120,53760
44,MedicalImages,381,760,10,99,1141,112959
45,MiddlePhalanxOutlineAgeGroup,400,154,3,80,554,44320
46,MiddlePhalanxOutlineCorrect,600,291,2,80,891,71280
51,OliveOil,30,30,4,570,60,34200
52,OSULeaf,200,242,6,427,442,188734
54,Phoneme,214,1896,39,1024,2110,2160640
55,Plane,105,105,7,144,210,30240
57,ProximalPhalanxOutlineCorrect,600,291,2,80,891,71280
58,ProximalPhalanxTW,400,205,6,80,605,48400
60,ScreenType,375,375,3,720,750,540000
61,ShapeletSim,20,180,2,500,200,100000
67,Strawberry,613,370,2,235,983,231005
68,SwedishLeaf,500,625,15,128,1125,144000
70,SyntheticControl,300,300,6,60,600,36000
71,ToeSegmentation1,40,228,2,277,268,74236
73,Trace,100,100,4,275,200,55000
78,UWaveGestureLibraryY,896,3582,8,315,4478,1410570
80,Wafer,1000,6164,2,152,7164,1088928
82,WordSynonyms,267,638,25,270,905,244350
83,Worms,181,77,5,900,258,232200
85,Yoga,300,3000,2,426,3300,1405800
