dataset_name,Arsenal,BOSS,CIF,DrCIF,HIVE-COTE 2.0,HIVE-COTEv1_0,InceptionTime,MiniRocket,ProximityForest,RISE,ROCKET,ResNet,S-BOSS,STC,TDE,TS-CHIEF,TSF,WEASEL,cBOSS,MultiRocket_100k,MultiRocket_10k,MultiRocket
ACSF1,0.8053333333333332,0.7683333333333333,0.7669999999999998,0.7843333333333332,0.8333333333333333,0.8499999999999999,0.8266666666666664,0.8223333333333334,0.6383333333333333,0.7599999999999999,0.807,0.8239999999999998,0.815,0.8383333333333334,0.7976666666666666,0.807,0.6349999999999999,0.818,0.7573333333333332,0.8346666666666668,0.8266666666666665,0.8336666666666666
Adiac,0.7721227621483375,0.7490196078431374,0.7672634270666665,0.8096334185848254,0.7951406649616369,0.7962489343563514,0.8222506393861891,0.8017050666666671,0.7221653878942881,0.7579710144927534,0.7719522591645354,0.8154305200341007,0.7427109974424553,0.7931798806479112,0.7515771526000001,0.7797101449275362,0.7119352088661551,0.7988064791133845,0.7462915601023019,0.8224211423699915,0.8111679454390452,0.8231031543052005
ArrowHead,0.8626666666666665,0.8687619047619048,0.8199999999666667,0.8253333333333333,0.8862857142857141,0.876,0.8803809523809523,0.8809523666666668,0.8836190476190476,0.8281904761904763,0.8590476190476191,0.8586666666666665,0.8878095238095237,0.8066666666666665,0.9005714285666666,0.8811428571428573,0.7967619047619047,0.8483809523809523,0.8779047619047622,0.8960000000000001,0.8937142857142858,0.8952380952380953
BME,0.9975555555555553,0.8657777777777778,0.9968888887666665,0.9995555555555555,0.9995555555555555,0.9822222222222223,0.9964444444444441,0.9922221333333334,0.999111111111111,0.7860000000000001,0.9973333333333332,0.9991111111111111,0.8651111111111109,0.9297777777777778,0.9115555555666665,0.9964444444444442,0.9624444444444447,0.947777777777778,0.7846666666666665,1.0,1.0,1.0
Beef,0.7555555555555552,0.6122222222222221,0.7255555555,0.7911111111111112,0.7966666666666667,0.7355555555555556,0.6822222222222223,0.7611110999999998,0.5944444444444444,0.7422222222222221,0.76,0.6766666666666665,0.6555555555555553,0.7355555555555554,0.6833333333666666,0.6322222222222222,0.6888888888888888,0.74,0.571111111111111,0.7733333333333334,0.77,0.7700000000000001
BeetleFly,0.8866666666666669,0.9433333333333332,0.868333333333333,0.8783333333333334,0.9033333333333335,0.963333333333333,0.8933333333333332,0.9066666666666665,0.86,0.8716666666666666,0.8850000000000002,0.8533333333333333,0.9366666666666666,0.933333333333333,0.9416666666666664,0.9583333333333331,0.8333333333333335,0.8866666666666665,0.9749999999999998,0.8950000000000001,0.8950000000000001,0.8966666666666668
BirdChicken,0.8866666666666666,0.9833333333333332,0.8666666666666666,0.948333333333333,0.9516666666666664,0.9399999999999998,0.9516666666666665,0.9083333333333331,0.903333333333333,0.8683333333333334,0.8816666666666665,0.945,0.9683333333333333,0.8699999999999999,0.9716666666666665,0.9633333333333332,0.8150000000000001,0.8649999999999998,0.9766666666666666,0.8866666666666665,0.893333333333333,0.8883333333333332
CBF,0.9959629629629629,0.9989259259259258,0.9864814815666665,0.9847777777777778,0.9979259259259259,0.9982592592592591,0.996111111111111,0.996222333333333,0.9936296296296295,0.9490370370370369,0.995925925925926,0.988222222222222,0.999074074074074,0.9852962962962962,0.9974074073999998,0.9984444444444445,0.971851851851852,0.9797777777777775,0.9983703703703702,0.9929999999999999,0.9925555555555554,0.9926296296296294
Car,0.9155555555555556,0.8483333333333333,0.8122222222000002,0.8438888888888889,0.9077777777777776,0.868888888888889,0.9011111111111113,0.9211111000000002,0.8055555555555558,0.7533333333333335,0.9116666666666666,0.9083333333333337,0.8594444444444441,0.8583333333333335,0.8700000000000002,0.8788888888888889,0.7661111111111112,0.8344444444444445,0.8433333333333334,0.9227777777777777,0.9183333333333332,0.9199999999999999
Chinatown,0.9678260869565217,0.8770651117589893,0.9631884057666669,0.9799033816425122,0.9735665694849369,0.9627793974732749,0.9649173955296404,0.9689989999999999,0.9480193236714973,0.8885325558794946,0.9668610301263364,0.9701449275362322,0.8791059280855199,0.9629737609329445,0.9554589372666668,0.9618357487922704,0.952964042759961,0.9573372206025267,0.9476328502415456,0.9669582118561709,0.966958211856171,0.9666666666666667
