fold:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.9,0.8,0.83,0.89,0.88,0.9,0.81,0.81,0.77,0.83,0.87,0.89,0.87,0.82,0.87,0.83,0.82,0.88,0.86,0.79,0.85,0.87,0.81,0.86,0.84,0.88,0.84,0.78,0.81,0.9
Adiac,0.8312020460358056,0.8209718670076727,0.7826086956521741,0.7979539641943734,0.8286445012787724,0.8158567774936062,0.8081841432225064,0.80306905370844,0.7928388746803069,0.8132992327365729,0.7928388746803069,0.8107416879795396,0.7570332480818415,0.8107416879795396,0.8005115089514067,0.8209718670076727,0.8132992327365729,0.80306905370844,0.8005115089514067,0.8312020460358056,0.8184143222506394,0.8158567774936062,0.8260869565217391,0.8081841432225064,0.7979539641943734,0.8184143222506394,0.8107416879795396,0.7979539641943734,0.8439897698209718,0.8235294117647058
ArrowHead,0.88,0.88,0.8857142857142857,0.9085714285714286,0.92,0.8742857142857143,0.8914285714285715,0.8857142857142857,0.9028571428571428,0.9142857142857144,0.8514285714285714,0.9028571428571428,0.7885714285714286,0.9085714285714286,0.9028571428571428,0.8971428571428571,0.8342857142857143,0.9085714285714286,0.9142857142857144,0.88,0.9542857142857144,0.9085714285714286,0.8685714285714285,0.9028571428571428,0.92,0.9028571428571428,0.9657142857142856,0.8742857142857143,0.9142857142857144,0.8914285714285715
BME,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333332,0.9933333333333332,1.0,0.9933333333333332,1.0,1.0,1.0,1.0,0.9933333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333332,1.0,1.0,1.0,1.0,1.0,0.9866666666666668,0.9933333333333332,0.9933333333333332
Beef,0.8,0.8,0.8,0.6666666666666666,0.8666666666666667,0.6666666666666666,0.8666666666666667,0.7333333333333333,0.9,0.8333333333333334,0.8,0.8,0.8666666666666667,0.6333333333333333,0.9,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.6,0.8333333333333334,0.7333333333333333,0.8666666666666667,0.6666666666666666,0.7,0.7333333333333333,0.6666666666666666,0.8666666666666667,0.8,0.6333333333333333,0.7333333333333333
BeetleFly,0.9,0.95,0.8,0.9,0.9,0.9,1.0,0.9,0.8,1.0,0.9,0.95,0.8,0.8,0.75,0.9,0.85,0.85,0.95,0.9,0.85,0.95,0.85,0.95,0.85,0.95,0.9,0.8,0.8,1.0
BirdChicken,0.9,0.9,0.8,1.0,0.95,0.9,0.9,0.75,0.9,0.9,0.85,0.95,0.95,0.85,0.8,0.95,0.95,0.95,0.85,0.95,0.85,0.95,1.0,0.9,0.85,0.9,0.95,0.9,0.85,0.9
CBF,0.9988888888888888,0.9977777777777778,0.96,0.9988888888888888,1.0,0.9822222222222222,0.9988888888888888,1.0,0.9977777777777778,0.9988888888888888,0.9911111111111112,0.9988888888888888,0.9977777777777778,1.0,0.9977777777777778,1.0,0.9977777777777778,0.99,0.9922222222222222,0.9944444444444444,0.9677777777777776,1.0,0.9988888888888888,1.0,1.0,1.0,1.0,0.9988888888888888,0.9944444444444444,0.9988888888888888
Car,0.9,0.9166666666666666,0.8833333333333333,0.9333333333333332,0.8833333333333333,0.9,0.8666666666666667,0.95,0.9,0.9,0.8833333333333333,0.9166666666666666,0.95,0.9333333333333332,0.9,0.8666666666666667,0.9333333333333332,0.8833333333333333,0.8833333333333333,0.9333333333333332,0.85,0.9166666666666666,0.9666666666666668,0.9,0.95,0.9,0.9333333333333332,0.9,0.9,0.9166666666666666
Chinatown,0.9825072886297376,0.9650145772594751,0.9825072886297376,0.967930029154519,0.9620991253644317,0.9591836734693876,0.9650145772594751,0.9533527696793004,0.9737609329446064,0.9620991253644317,0.9737609329446064,0.9650145772594751,0.9737609329446064,0.9708454810495628,0.967930029154519,0.9591836734693876,0.967930029154519,0.9620991253644317,0.9737609329446064,0.9562682215743442,0.9591836734693876,0.967930029154519,0.9620991253644317,0.9475218658892128,0.9620991253644317,0.9650145772594751,0.979591836734694,0.9650145772594751,0.9737609329446064,0.9620991253644317
ChlorineConcentration,0.7494791666666667,0.7731770833333333,0.7421875,0.7526041666666666,0.7549479166666667,0.7627604166666667,0.7588541666666667,0.7619791666666667,0.7427083333333333,0.7174479166666666,0.7669270833333334,0.73828125,0.7651041666666667,0.7408854166666666,0.7611979166666667,0.7453125,0.7575520833333333,0.7559895833333333,0.7338541666666667,0.740625,0.7385416666666667,0.7364583333333333,0.74375,0.74609375,0.7528645833333333,0.7419270833333333,0.7111979166666667,0.7369791666666666,0.7354166666666667,0.7236979166666667
CinCECGTorso,0.9137681159420291,0.8862318840579709,0.9246376811594202,0.9833333333333332,0.9268115942028986,0.9014492753623188,0.8478260869565217,0.944927536231884,0.9405797101449276,0.9260869565217392,0.8898550724637682,0.9485507246376812,0.9231884057971016,0.9485507246376812,0.9028985507246376,0.9246376811594202,0.9007246376811594,0.932608695652174,0.9130434782608696,0.95,0.944927536231884,0.9094202898550724,0.8782608695652174,0.955072463768116,0.8760869565217392,0.9202898550724636,0.9427536231884058,0.9384057971014492,0.9297101449275362,0.9036231884057973
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857144,1.0
Computers,0.72,0.804,0.7879999999999999,0.816,0.784,0.8,0.7879999999999999,0.7879999999999999,0.804,0.836,0.816,0.816,0.8320000000000001,0.804,0.8079999999999999,0.768,0.7879999999999999,0.82,0.82,0.828,0.812,0.8,0.836,0.8240000000000001,0.8,0.816,0.768,0.812,0.8320000000000001,0.8
CricketX,0.8205128205128205,0.8384615384615385,0.8051282051282052,0.8205128205128205,0.8153846153846154,0.8307692307692308,0.8256410256410256,0.8410256410256409,0.8384615384615385,0.8282051282051283,0.8153846153846154,0.8435897435897436,0.8564102564102564,0.823076923076923,0.8461538461538461,0.8641025641025641,0.8666666666666667,0.8384615384615385,0.7897435897435897,0.8538461538461538,0.8205128205128205,0.8358974358974359,0.8153846153846154,0.8435897435897436,0.8333333333333334,0.8282051282051283,0.8256410256410256,0.8205128205128205,0.8384615384615385,0.8205128205128205
