,folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,ACSF1,0.9,0.83,0.8,0.85,0.83,0.88,0.81,0.84,0.77,0.77,0.84,0.87,0.9,0.82,0.84,0.78,0.84,0.84,0.81,0.78,0.77,0.86,0.8,0.84,0.82,0.89,0.77,0.77,0.8,0.88
1,Adiac,0.8260869565217391,0.8132992327365729,0.8107416879795396,0.8005115089514067,0.8363171355498721,0.8158567774936062,0.8056265984654731,0.7979539641943734,0.7953964194373402,0.8056265984654731,0.7979539641943734,0.8158567774936062,0.7851662404092071,0.7928388746803069,0.8081841432225064,0.8235294117647058,0.8158567774936062,0.7928388746803069,0.7953964194373402,0.8107416879795396,0.8107416879795396,0.8363171355498721,0.8312020460358056,0.8158567774936062,0.80306905370844,0.8235294117647058,0.7979539641943734,0.8184143222506394,0.8465473145780051,0.8056265984654731
2,AllGestureWiimoteX,0.7042857142857143,0.7014285714285714,0.7057142857142857,0.6957142857142857,0.6957142857142857,0.6957142857142857,0.69,0.7057142857142857,0.7028571428571428,0.71,0.72,0.7,0.7014285714285714,0.7,0.7142857142857143,0.7042857142857143,0.71,0.7028571428571428,0.7042857142857143,0.6857142857142857,0.7042857142857143,0.7042857142857143,0.7142857142857143,0.7128571428571429,0.7085714285714285,0.68,0.6985714285714286,0.6928571428571428,0.7257142857142858,0.7014285714285714
3,AllGestureWiimoteY,0.7314285714285714,0.7685714285714286,0.7585714285714286,0.7428571428571429,0.7614285714285715,0.7457142857142857,0.7514285714285714,0.76,0.7571428571428571,0.75,0.75,0.7571428571428571,0.7642857142857142,0.7614285714285715,0.7428571428571429,0.7385714285714285,0.7442857142857143,0.7571428571428571,0.75,0.7585714285714286,0.7528571428571429,0.7471428571428571,0.75,0.7471428571428571,0.75,0.76,0.7471428571428571,0.7585714285714286,0.7514285714285714,0.7528571428571429
4,AllGestureWiimoteZ,0.6985714285714286,0.7,0.6971428571428572,0.6871428571428572,0.7157142857142857,0.7185714285714285,0.7014285714285714,0.6957142857142857,0.69,0.6971428571428572,0.6914285714285714,0.7114285714285714,0.6914285714285714,0.6985714285714286,0.6971428571428572,0.6971428571428572,0.7042857142857143,0.7042857142857143,0.7057142857142857,0.7128571428571429,0.6928571428571428,0.6871428571428572,0.6942857142857143,0.7,0.6985714285714286,0.7057142857142857,0.7185714285714285,0.6942857142857143,0.6985714285714286,0.6814285714285714
5,ArrowHead,0.8742857142857143,0.8857142857142857,0.9257142857142856,0.8971428571428571,0.8914285714285715,0.8742857142857143,0.8914285714285715,0.9142857142857144,0.9142857142857144,0.9085714285714286,0.8457142857142858,0.9085714285714286,0.7942857142857143,0.92,0.9142857142857144,0.9142857142857144,0.8457142857142858,0.92,0.8971428571428571,0.8914285714285715,0.9428571428571428,0.8971428571428571,0.8285714285714286,0.8914285714285715,0.9142857142857144,0.8971428571428571,0.9542857142857144,0.8857142857142857,0.8971428571428571,0.8742857142857143
6,BME,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Beef,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.6666666666666666,0.8666666666666667,0.6333333333333333,0.9,0.6666666666666666,0.9,0.8,0.7666666666666667,0.8,0.8666666666666667,0.6333333333333333,0.7666666666666667,0.8,0.7333333333333333,0.7333333333333333,0.6,0.8666666666666667,0.7666666666666667,0.9,0.8,0.6666666666666666,0.7666666666666667,0.6666666666666666,0.8666666666666667,0.8333333333333334,0.7,0.8333333333333334
8,BeetleFly,0.85,0.9,0.8,0.9,0.9,0.9,1.0,0.9,0.9,0.95,1.0,0.95,0.8,0.8,0.75,0.95,0.9,0.9,0.9,0.85,0.9,1.0,0.85,1.0,0.85,0.95,0.85,0.8,0.85,1.0
9,BirdChicken,0.9,0.9,0.8,1.0,1.0,0.95,0.9,0.8,0.85,0.9,0.9,0.9,0.95,0.85,0.85,0.95,0.95,0.9,0.85,0.9,0.9,0.95,0.95,0.9,0.8,0.9,0.9,0.8,0.9,0.8
