fold:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.94,0.81,0.82,0.86,0.91,0.85,0.81,0.9,0.86,0.84,0.85,0.9,0.88,0.84,0.87,0.83,0.87,0.88,0.83,0.82,0.84,0.82,0.77,0.87,0.88,0.86,0.89,0.76,0.84,0.85
Adiac,0.8312020460358056,0.8158567774936062,0.7851662404092071,0.7570332480818415,0.7902813299232737,0.8081841432225064,0.8158567774936062,0.7851662404092071,0.7953964194373402,0.7902813299232737,0.7902813299232737,0.7979539641943734,0.7442455242966752,0.8005115089514067,0.8081841432225064,0.7902813299232737,0.7979539641943734,0.7979539641943734,0.7774936061381074,0.8158567774936062,0.7979539641943734,0.8056265984654731,0.8081841432225064,0.7979539641943734,0.7621483375959079,0.80306905370844,0.7851662404092071,0.7953964194373402,0.8312020460358056,0.8081841432225064
ArrowHead,0.7657142857142857,0.8685714285714285,0.8742857142857143,0.8971428571428571,0.92,0.8571428571428571,0.88,0.88,0.88,0.9085714285714286,0.8685714285714285,0.9028571428571428,0.7828571428571428,0.9085714285714286,0.9085714285714286,0.8857142857142857,0.8114285714285714,0.8514285714285714,0.8971428571428571,0.8571428571428571,0.9542857142857144,0.8857142857142857,0.8514285714285714,0.9085714285714286,0.9085714285714286,0.8857142857142857,0.9485714285714286,0.8742857142857143,0.9028571428571428,0.8685714285714285
BME,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beef,0.8,0.7666666666666667,0.7333333333333333,0.5666666666666667,0.8666666666666667,0.5666666666666667,0.8333333333333334,0.7666666666666667,0.8666666666666667,0.7666666666666667,0.7666666666666667,0.8,0.8666666666666667,0.6666666666666666,0.8,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6,0.9,0.7333333333333333,0.7333333333333333,0.6333333333333333,0.6333333333333333,0.7666666666666667,0.6,0.7666666666666667,0.7333333333333333,0.6666666666666666,0.7
BeetleFly,0.9,0.9,0.85,0.9,0.9,0.9,1.0,0.9,0.8,0.9,0.95,0.95,0.8,0.8,0.75,0.9,0.75,0.85,0.95,0.9,0.85,0.85,0.85,0.9,0.85,0.85,0.85,0.8,0.8,1.0
BirdChicken,0.9,0.95,0.8,0.95,1.0,0.95,0.9,0.8,0.85,0.9,0.85,0.9,0.95,0.85,0.85,0.95,1.0,0.9,0.9,0.95,0.85,0.95,1.0,0.95,0.85,0.9,0.9,0.85,0.85,0.9
CBF,0.9988888888888888,1.0,0.9388888888888888,1.0,1.0,0.9733333333333334,0.9955555555555556,1.0,1.0,1.0,0.99,0.9988888888888888,1.0,1.0,1.0,1.0,0.9911111111111112,0.9866666666666668,0.9833333333333332,0.9833333333333332,0.9633333333333334,1.0,0.9988888888888888,1.0,0.9988888888888888,1.0,0.9966666666666668,0.9988888888888888,0.9988888888888888,1.0
Car,0.9,0.8666666666666667,0.9166666666666666,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.7666666666666667,0.8833333333333333,0.9,0.8,0.8666666666666667,0.9,0.85,0.9166666666666666,0.9333333333333332,0.8333333333333334,0.8833333333333333,0.95,0.7666666666666667,0.9,0.8333333333333334,0.75,0.85,0.8833333333333333,0.9,0.9,0.9166666666666666,0.85,0.8333333333333334,0.85
Chinatown,0.7725947521865889,0.8279883381924198,0.7813411078717201,0.9096209912536444,0.8075801749271136,0.7842565597667639,0.9154518950437318,0.6938775510204082,0.760932944606414,0.6239067055393586,0.7434402332361516,0.9562682215743442,0.685131195335277,0.8279883381924198,0.8250728862973761,0.760932944606414,0.8717201166180758,0.7638483965014577,0.7521865889212828,0.8483965014577259,0.7813411078717201,0.760932944606414,0.8454810495626822,0.7230320699708455,0.7842565597667639,0.6734693877551021,0.8046647230320699,0.6501457725947521,0.967930029154519,0.6151603498542274
ChlorineConcentration,0.7606770833333333,0.77734375,0.7674479166666667,0.75234375,0.7713541666666667,0.7645833333333333,0.7559895833333333,0.7596354166666667,0.7440104166666667,0.7236979166666667,0.76171875,0.7395833333333334,0.77578125,0.753125,0.7611979166666667,0.7565104166666666,0.76953125,0.76328125,0.7622395833333333,0.7434895833333334,0.7572916666666667,0.7505208333333333,0.76015625,0.75546875,0.7770833333333333,0.73828125,0.7252604166666666,0.7395833333333334,0.7427083333333333,0.74765625
CinCECGTorso,0.9485507246376812,0.8884057971014493,0.9217391304347826,0.9884057971014492,0.95,0.917391304347826,0.8565217391304348,0.927536231884058,0.9442028985507246,0.9471014492753624,0.9137681159420291,0.960144927536232,0.9260869565217392,0.9514492753623188,0.9231884057971016,0.9391304347826088,0.9333333333333332,0.972463768115942,0.9420289855072465,0.9608695652173912,0.9659420289855072,0.9289855072463769,0.8913043478260869,0.9746376811594204,0.9108695652173912,0.9615942028985508,0.9681159420289857,0.9644927536231884,0.9507246376811594,0.9108695652173912
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.736,0.8440000000000001,0.82,0.856,0.856,0.892,0.872,0.812,0.8440000000000001,0.852,0.872,0.8320000000000001,0.8640000000000001,0.852,0.836,0.82,0.816,0.86,0.836,0.82,0.8079999999999999,0.804,0.812,0.852,0.872,0.812,0.84,0.884,0.848,0.86
