fold:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.89,0.78,0.8,0.83,0.84,0.87,0.78,0.83,0.75,0.79,0.85,0.85,0.86,0.75,0.8,0.81,0.84,0.83,0.85,0.73,0.79,0.73,0.77,0.85,0.77,0.81,0.81,0.73,0.8,0.84
Adiac,0.7877237851662404,0.7826086956521741,0.7519181585677749,0.7493606138107417,0.7928388746803069,0.7698209718670077,0.7749360613810742,0.7774936061381074,0.7672634271099744,0.7749360613810742,0.7416879795396419,0.7953964194373402,0.7416879795396419,0.7902813299232737,0.7928388746803069,0.7698209718670077,0.7647058823529411,0.7698209718670077,0.7800511508951407,0.7877237851662404,0.7647058823529411,0.7749360613810742,0.8005115089514067,0.7851662404092071,0.7595907928388747,0.7851662404092071,0.7672634271099744,0.7826086956521741,0.8081841432225064,0.7774936061381074
ArrowHead,0.8171428571428572,0.8514285714285714,0.8342857142857143,0.8914285714285715,0.8742857142857143,0.7771428571428571,0.8685714285714285,0.8685714285714285,0.8628571428571429,0.8742857142857143,0.84,0.7257142857142858,0.7657142857142857,0.8914285714285715,0.88,0.8971428571428571,0.7942857142857143,0.8571428571428571,0.8457142857142858,0.8342857142857143,0.9257142857142856,0.8685714285714285,0.8171428571428572,0.9028571428571428,0.9142857142857144,0.8857142857142857,0.9028571428571428,0.8571428571428571,0.9028571428571428,0.8514285714285714
BME,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666668,0.9933333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333332,1.0,0.9933333333333332,1.0,1.0,1.0,1.0,0.9933333333333332,1.0,0.9933333333333332,1.0,1.0,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9933333333333332
Beef,0.8,0.7666666666666667,0.7333333333333333,0.6333333333333333,0.8666666666666667,0.6333333333333333,0.8333333333333334,0.7666666666666667,0.8333333333333334,0.8,0.7666666666666667,0.7333333333333333,0.9,0.6,0.9,0.7333333333333333,0.7333333333333333,0.7,0.6,0.8,0.6666666666666666,0.8,0.9,0.7333333333333333,0.7,0.7,0.7666666666666667,0.9,0.7333333333333333,0.7
BeetleFly,0.9,0.85,0.8,0.95,0.85,0.9,1.0,0.85,0.85,0.85,1.0,0.95,0.8,0.8,0.75,0.9,0.9,0.9,0.95,0.85,0.85,1.0,0.85,0.95,0.85,1.0,0.85,0.85,0.85,1.0
BirdChicken,0.9,0.9,0.8,0.9,0.8,1.0,0.9,0.85,0.85,0.85,0.9,0.85,0.95,0.9,0.85,1.0,0.85,0.95,0.9,1.0,0.8,1.0,0.9,0.95,0.8,0.95,0.9,0.8,0.8,0.9
CBF,1.0,0.9988888888888888,0.99,1.0,1.0,0.9888888888888888,1.0,1.0,1.0,1.0,0.9911111111111112,0.9988888888888888,0.9988888888888888,1.0,0.9988888888888888,1.0,0.9955555555555556,0.9966666666666668,0.9966666666666668,0.9977777777777778,0.9677777777777776,0.9988888888888888,1.0,1.0,1.0,1.0,1.0,0.9977777777777778,0.9666666666666668,1.0
Car,0.8833333333333333,0.9,0.8833333333333333,0.9,0.8833333333333333,0.9,0.8666666666666667,0.95,0.8833333333333333,0.9,0.9,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9166666666666666,0.8833333333333333,0.9166666666666666,0.9,0.8833333333333333,0.95,0.9,0.9,0.95,0.8666666666666667,0.9666666666666668,0.9166666666666666,0.9166666666666666,0.9333333333333332,0.9,0.8666666666666667
Chinatown,0.979591836734694,0.9591836734693876,0.9708454810495628,0.9650145772594751,0.9591836734693876,0.9591836734693876,0.9620991253644317,0.967930029154519,0.97667638483965,0.9650145772594751,0.9737609329446064,0.9620991253644317,0.932944606413994,0.967930029154519,0.967930029154519,0.9650145772594751,0.9650145772594751,0.9650145772594751,0.9708454810495628,0.9650145772594751,0.967930029154519,0.9650145772594751,0.9650145772594751,0.9562682215743442,0.967930029154519,0.9708454810495628,0.97667638483965,0.9591836734693876,0.967930029154519,0.967930029154519
