dataset_name,PPV_periodogram_10k,PPV_2nd_10k,PPV_2nd+periodogram_10k,PPV_1st_10k,PPV_1st+periodogram_10k,PPV_1st+2nd_10k,PPV_1st+2nd+periodogram_10k,PPV_base_10k,PPV_base+periodogram_10k,PPV_base+2nd_10k,PPV_base+2nd+periodogram_10k,PPV_base+1st_10k,PPV_base+1st+periodogram_10k,PPV_base+1st+2nd_10k,PPV_base+1st+2nd+periodogram_10k,PPV+LSPV+MPV+MIPV_periodogram_10k,PPV+LSPV+MPV+MIPV_2nd_10k,PPV+LSPV+MPV+MIPV_2nd+periodogram_10k,PPV+LSPV+MPV+MIPV_1st_10k,PPV+LSPV+MPV+MIPV_1st+periodogram_10k,PPV+LSPV+MPV+MIPV_1st+2nd_10k,PPV+LSPV+MPV+MIPV_1st+2nd+periodogram_10k,PPV+LSPV+MPV+MIPV_base_10k,PPV+LSPV+MPV+MIPV_base+periodogram_10k,PPV+LSPV+MPV+MIPV_base+2nd_10k,PPV+LSPV+MPV+MIPV_base+2nd+periodogram_10k,PPV+LSPV+MPV+MIPV_base+1st_10k,PPV+LSPV+MPV+MIPV_base+1st+periodogram_10k,PPV+LSPV+MPV+MIPV_base+1st+2nd_10k,PPV+LSPV+MPV+MIPV_base+1st+2nd+periodogram_10k,PPV+MIPV_base+1st_10k,PPV+LSPV+MIPV_base+1st_10k,PPV+LSPV+MPV_base+1st_10k,PPV+LSPV_base+1st_10k,PPV+MPV+MIPV_base+1st_10k,PPV+MPV_base+1st_10k,MIPV_base+1st_10k,LSPV+MIPV_base+1st_10k,LSPV+MPV+MIPV_base+1st_10k,LSPV+MPV_base+1st_10k,LSPV_base+1st_10k,MPV+MIPV_base+1st_10k,MPV_base+1st_10k,PPV_base_50k,PPV_base+1st_50k,PPV+LSPV+MPV+MIPV_base+1st_100k,PPV+LSPV+MPV+MIPV_base+1st_20k,PPV+LSPV+MPV+MIPV_base+1st_50k
ACSF1,0.75,0.91,0.92,0.88,0.91,0.9,0.93,0.92,0.92,0.92,0.91,0.9,0.93,0.9,0.91,0.8,0.89,0.91,0.9,0.87,0.89,0.9,0.87,0.91,0.89,0.92,0.9,0.9,0.87,0.91,0.87,0.9,0.92,0.92,0.88,0.88,0.69,0.86,0.89,0.93,0.92,0.87,0.93,0.91,0.9,0.91,0.9,0.92
Adiac,0.710997442455243,0.5345268542199488,0.7161125319693095,0.8107416879795396,0.7928388746803069,0.782608695652174,0.7851662404092071,0.8235294117647058,0.8132992327365729,0.8056265984654731,0.7774936061381074,0.8312020460358056,0.8107416879795396,0.8005115089514067,0.80306905370844,0.7468030690537084,0.5831202046035806,0.7416879795396419,0.8184143222506394,0.80306905370844,0.7749360613810742,0.782608695652174,0.8286445012787724,0.7979539641943734,0.8209718670076727,0.80306905370844,0.8209718670076727,0.8209718670076727,0.8081841432225064,0.8056265984654731,0.8132992327365729,0.8260869565217391,0.8260869565217391,0.8184143222506394,0.8158567774936062,0.8235294117647058,0.7979539641943734,0.8184143222506394,0.8235294117647058,0.8414322250639387,0.7953964194373402,0.7953964194373402,0.8363171355498721,0.8337595907928389,0.8337595907928389,0.8363171355498721,0.8260869565217391,0.8337595907928389
AllGestureWiimoteX,0.5028571428571429,0.2714285714285714,0.4814285714285714,0.5285714285714286,0.6042857142857143,0.4885714285714285,0.5814285714285714,0.6914285714285714,0.6871428571428572,0.6514285714285715,0.6528571428571428,0.6571428571428571,0.6557142857142857,0.6057142857142858,0.6128571428571429,0.5185714285714286,0.3428571428571428,0.5171428571428571,0.5942857142857143,0.6357142857142857,0.5514285714285714,0.64,0.7428571428571429,0.7057142857142857,0.6914285714285714,0.6828571428571428,0.7042857142857143,0.7042857142857143,0.6814285714285714,0.6642857142857143,0.6828571428571428,0.7085714285714285,0.6857142857142857,0.6957142857142857,0.7057142857142857,0.6514285714285715,0.7028571428571428,0.7171428571428572,0.7257142857142858,0.7057142857142857,0.67,0.6971428571428572,0.6542857142857142,0.7042857142857143,0.67,0.7357142857142858,0.7057142857142857,0.7271428571428571
AllGestureWiimoteY,0.5428571428571428,0.2685714285714285,0.5214285714285715,0.6271428571428571,0.6585714285714286,0.5642857142857143,0.6171428571428571,0.73,0.7,0.6828571428571428,0.7,0.7171428571428572,0.72,0.6785714285714286,0.7085714285714285,0.5828571428571429,0.4128571428571428,0.58,0.6842857142857143,0.7314285714285714,0.6514285714285715,0.6971428571428572,0.76,0.76,0.71,0.7285714285714285,0.7514285714285714,0.7528571428571429,0.7428571428571429,0.7385714285714285,0.7442857142857143,0.7642857142857142,0.7285714285714285,0.7557142857142857,0.7485714285714286,0.7185714285714285,0.7357142857142858,0.7485714285714286,0.7585714285714286,0.7285714285714285,0.7228571428571429,0.74,0.7314285714285714,0.7228571428571429,0.7271428571428571,0.7614285714285715,0.7642857142857142,0.7728571428571429
AllGestureWiimoteZ,0.5028571428571429,0.32,0.5242857142857142,0.5328571428571428,0.5771428571428572,0.5328571428571428,0.5871428571428572,0.66,0.6357142857142857,0.6285714285714286,0.6157142857142858,0.6571428571428571,0.6257142857142857,0.5957142857142858,0.6057142857142858,0.5471428571428572,0.43,0.5628571428571428,0.6171428571428571,0.6114285714285714,0.57,0.6114285714285714,0.7257142857142858,0.7,0.6785714285714286,0.6671428571428571,0.6828571428571428,0.6728571428571428,0.6585714285714286,0.65,0.6757142857142857,0.7042857142857143,0.6842857142857143,0.6957142857142857,0.6828571428571428,0.69,0.7,0.6871428571428572,0.7157142857142857,0.7014285714285714,0.6614285714285715,0.6942857142857143,0.71,0.6671428571428571,0.6871428571428572,0.74,0.7171428571428572,0.7528571428571429
ArrowHead,0.72,0.4971428571428571,0.7028571428571428,0.8514285714285714,0.8457142857142858,0.8457142857142858,0.84,0.8514285714285714,0.8571428571428571,0.8857142857142857,0.8514285714285714,0.8571428571428571,0.8514285714285714,0.8457142857142858,0.88,0.7142857142857143,0.5085714285714286,0.7314285714285714,0.8514285714285714,0.8514285714285714,0.84,0.8057142857142857,0.8571428571428571,0.8571428571428571,0.84,0.8285714285714286,0.8514285714285714,0.8514285714285714,0.8342857142857143,0.8457142857142858,0.8685714285714285,0.8685714285714285,0.8742857142857143,0.8628571428571429,0.8685714285714285,0.8685714285714285,0.8114285714285714,0.8742857142857143,0.8685714285714285,0.8685714285714285,0.8571428571428571,0.8457142857142858,0.8285714285714286,0.84,0.8514285714285714,0.8571428571428571,0.8628571428571429,0.8685714285714285
BME,0.7066666666666667,0.98,0.9133333333333332,0.9866666666666668,0.94,0.9933333333333332,0.9333333333333332,1.0,0.9866666666666668,1.0,0.9866666666666668,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333332,0.9933333333333332,1.0,1.0,0.9266666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beef,0.7666666666666667,0.8,0.7666666666666667,0.8,0.7666666666666667,0.8,0.7666666666666667,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.7666666666666667,0.7666666666666667,0.8,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7666666666666667,0.8,0.8,0.7,0.8333333333333334,0.7666666666666667,0.8333333333333334,0.8333333333333334,0.8,0.8,0.8,0.7666666666666667,0.8,0.8,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.8333333333333334,0.8,0.7666666666666667,0.8,0.7333333333333333,0.8,0.7,0.8666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667
BeetleFly,0.8,0.7,0.85,0.85,0.95,0.85,0.95,0.9,0.9,0.95,0.9,0.95,0.95,0.95,0.95,0.85,0.7,0.85,0.9,0.95,0.9,0.9,0.8,0.95,0.95,0.9,0.85,0.95,0.9,0.95,0.85,0.9,0.9,0.95,0.85,0.85,0.9,0.9,0.9,0.9,0.95,0.85,0.85,0.9,0.9,0.85,0.9,0.85
BirdChicken,0.95,0.9,0.95,1.0,0.95,0.9,0.95,0.9,0.9,0.9,0.9,0.9,0.95,0.9,0.9,0.9,0.75,0.85,0.8,0.9,0.8,0.8,0.9,0.9,0.85,0.9,0.9,0.9,0.85,0.85,0.9,0.9,0.9,0.9,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.75,0.85,0.9,0.9,0.9,0.9,0.9
